"Judul","Title_URL","Update","Agen","Jenis_Rumah","Lokasi","KT","KM","Garasi","LT","LB","KPR_bulanan","Harga","Harga_New","Juta"
"Rumah Siap Huni Sangat Nyaman Di Bukitsari Semarang","https://www.rumah123.com/properti/semarang/hos16748798/","Diperbarui 23 menit yang lalu oleh","Ginanjar","Rumah","Banyumanik, Semarang","5","3","1","399","273","10","2.9","2.9","0.001"
"Rumah 2 Lantai di Pusponjolo Semarang Barat Dekat Kota, Semarang","https://www.rumah123.com/properti/semarang/hos16645082/","Diperbarui 1 minggu yang lalu oleh","Rikza Bashony","Rumah","Semarang Barat, Semarang","6","3","","252","410","11","3","3",""
"Rumah 2 Lantai Mewah Lingkungan Eksklusif di Ngaliyan Semarang Barat","https://www.rumah123.com/properti/semarang/hos16748720/","Diperbarui 1 jam yang lalu oleh","Surono Mundiharjo","Rumah","Semarang Barat, Semarang","3","3","1","120","110","5","1.6","1.6",""
"dijual Rumah 2 Lantai di taman sari hills Bagus","https://www.rumah123.com/properti/semarang/hos16748664/","Diperbarui 1 jam yang lalu oleh","Lili Susanto","Rumah","Tembalang, Semarang","4","3","1","200","100","8","2.2","2.2",""
"Rumah Siap Huni Di Tirto Agung Banyumanik Semarang","https://www.rumah123.com/properti/semarang/hos16748573/","Diperbarui 2 jam yang lalu oleh","Didik C","Rumah","Banyumanik, Semarang","4","3","2","300","200","11","3.2","3.2",""
"Rumah Bagus Ada Ruang Usaha di Tlogomulyo Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16737687/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Pedurungan, Semarang","3","2","1","125","100","2","785","0.785",""
"Rumah View Laut Siap Huni di Jalan Utama Ngaliyan Semarang","https://www.rumah123.com/properti/semarang/hos16737691/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Ngaliyan, Semarang","3","4","1","160","320","6","1.85","1.85",""
"Rumah 2 Lantai Bagus Terawat Dekat Bandara Puri Anjasmoro","https://www.rumah123.com/properti/semarang/hos16737686/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Semarang Barat, Semarang","3","2","1","240","300","7","2","2",""
"Rumah Bagus Terawat Jalan Lebar 2 Arah di Tanah Mas Semarang","https://www.rumah123.com/properti/semarang/hos16737685/","Diperbarui 3 jam yang lalu oleh","Novy","Rumah","Semarang Utara, Semarang","4","2","1","240","300","9","2.45","2.45",""
"Rumah 1 Lantai Timur Kota Semarang Cicilan 2Jtan","https://www.rumah123.com/properti/semarang/hos16748416/","Diperbarui 4 jam yang lalu oleh","Ichsan Novandra","Rumah","Semarang Timur, Semarang","2","1","1","70","55","1","450","0.45",""
"Rumah 2 Lantai Di Dalam Perumahan Cluster Semarang PROMO Gratis Biaya Biaya","https://www.rumah123.com/properti/semarang/hos16748396/","Diperbarui 4 jam yang lalu oleh","Ichsan Novandra","Rumah","Semarang Selatan, Semarang","3","3","2","136","176","12","3.35","3.35",""
"Perumahan Cluster Siap Huni PROMO Gratis biaya biaya","https://www.rumah123.com/properti/semarang/hos16748381/","Diperbarui 4 jam yang lalu oleh","RISAN PROPERTY LANCAR","Rumah","Tembalang, Semarang","3","3","2","136","176","12","3.35","3.35",""
"Ready Unit Rumah Timur Kota Semarang Murah","https://www.rumah123.com/properti/semarang/hos16747614/","Diperbarui 7 jam yang lalu oleh","RISAN PROPERTY LANCAR","Rumah","Semarang Timur, Semarang","2","1","1","77","55","1","450","0.45",""
"Rumah Bagus 3 Kamar Tidur di D Beringin Hills , Semarang","https://www.rumah123.com/properti/semarang/hos16747481/","Diperbarui 11 jam yang lalu oleh","Moh Heru Mulyono","Rumah
Featured","Ngaliyan, Semarang","3","2","1","120","60","2","650","0.65",""
"Dijual kos Gunung pati murah dekat kampus Unnes kota Semarang","https://www.rumah123.com/properti/semarang/hos16747333/","Diperbarui 11 jam yang lalu oleh","Yusi  ardiyani","Rumah","Gunung Pati, Semarang","3","3","","69","50","1","375","0.375",""
"di Rumah Luas Murah Permata Puri Ngaliyan, Semarang","https://www.rumah123.com/properti/semarang/hos16549153/","Diperbarui 3 minggu yang lalu oleh","Rikza Bashony","Rumah","Ngaliyan, Semarang","4","3","","150","250","4","1.2","1.2",""
"Rumah dekat undip, sumur boto banyumanik","https://www.rumah123.com/properti/semarang/hos16747201/","Diperbarui 11 jam yang lalu oleh","Nur biyanto","Rumah","Banyumanik, Semarang","3","3","1","200","180","8","2.2","2.2",""
"Rumah Kolam Renang Pribadi Arfana Green Ngaliyan , Semarang","https://www.rumah123.com/properti/semarang/hos16747183/","Diperbarui 11 jam yang lalu oleh","Rikza Bashony","Rumah","Ngaliyan, Semarang","2","1","","120","60","2","750","0.75",""
"Cuma 300 Rumah di Beringin Ngaliyan Kondisi Bagus SHM","https://www.rumah123.com/properti/semarang/hos16505875/","Diperbarui 3 minggu yang lalu oleh","Else Property","Rumah","Ngaliyan, Semarang","2","1","1","60","42","1","335","0.335",""
"Rumah Dijual Murah Hook di Jalan Raya Barito Semarang","https://www.rumah123.com/properti/semarang/hos13921431/","Diperbarui 3 bulan yang lalu oleh","Hery Purnomo","Rumah","Semarang Timur, Semarang","7","2","1","317","350","9","2.5","2.5",""
"Dijual Rumah 2 Lantai di Citrasun Garden Semarang","https://www.rumah123.com/properti/semarang/hos16625909/","Diperbarui 12 jam yang lalu oleh","ALBA GROUP","Rumah","Banyumanik, Semarang","3","2","1","90","105","6","1.7","1.7",""
"rumah siap huni di taman asri residence sumurrejo gunungpati","https://www.rumah123.com/properti/semarang/hos16746924/","Diperbarui 12 jam yang lalu oleh","Rizal Zulmi","Rumah","Gunung Pati, Semarang","3","2","1","120","150","2","600","0.6",""
"Rumah Baru! Strategis Tengah Kota,  Bisa untuk usaha , Semarang Si 5172","https://www.rumah123.com/properti/semarang/hos14135556/","Diperbarui 1 bulan yang lalu oleh","Sintia redland","Rumah","Semarang Tengah, Semarang","6","6","4","250","350","16","4.5","4.5",""
"DiJual Rumah Beruang, Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16746033/","Diperbarui 15 jam yang lalu oleh","Chandra","Rumah","Gayamsari, Semarang","5","3","","240","360","5","1.5","1.5",""
"Dijual Rumah LT 157 di Purwoyoso Ngaliyan Semarang","https://www.rumah123.com/properti/semarang/hos16299006/","Diperbarui 15 jam yang lalu oleh","ALBA GROUP","Rumah","Ngaliyan, Semarang","3","2","1","157","130","2","725","0.725",""
"Rumah Klasik Candi Kencana Manyaran Gebyok Jati, Semarang","https://www.rumah123.com/properti/semarang/hos16549031/","Diperbarui 3 minggu yang lalu oleh","Rikza Bashony","Rumah","Semarang Barat, Semarang","4","1","","150","150","4","1.2","1.2",""
"PROMO RUMAH 2 LANTAI DI KLIPANG SEMARANG","https://www.rumah123.com/properti/semarang/hos16745040/","Diperbarui 17 jam yang lalu oleh","Rahmat Jaya Property","Rumah","Semarang Tengah, Semarang","2","1","1","65","55","1","499","0.499",""
"RUMAH 1 LANTAI KALASAN RESIDENCE PASADENA CLUSTER SIAP HUNI","https://www.rumah123.com/properti/semarang/hos16745099/","Diperbarui 9 jam yang lalu oleh","Ariya","Rumah","Semarang Barat, Semarang","3","2","2","198","150","6","1.65","1.65",""
"RUMAH 2 LANTAI CITRAGRAND 5 KAMAR FULL FURNISHED","https://www.rumah123.com/properti/semarang/hos16745075/","Diperbarui 17 jam yang lalu oleh","Ariya","Rumah","Semarang Timur, Semarang","5","2","","180","290","13","3.6","3.6",""
"RUMAH 2 LANTAI CITRAGRAND 5 KAMAR FULL FURNISHED","https://www.rumah123.com/properti/semarang/hos16745073/","Diperbarui 17 jam yang lalu oleh","RUTH JANE (HXXT)","Rumah","Semarang Timur, Semarang","5","2","","180","290","13","3.6","3.6",""
"Rumah di tengah kota","https://www.rumah123.com/properti/semarang/hos16744781/","Diperbarui 7 jam yang lalu oleh","Vivi","Rumah","Semarang Barat, Semarang","3","2","1","150","120","3","900","0.9",""
"Rumah Di Krapyak Semarang Barat Dekat Gerbang Tol Krapyak","https://www.rumah123.com/properti/semarang/hos16744737/","Diperbarui 17 jam yang lalu oleh","Yunita","Rumah","Semarang Barat, Semarang","2","2","1","90","88","2","800","0.8",""
"Rumah di Daerah Banyumanik , Semarang Si 6369","https://www.rumah123.com/properti/semarang/hos16744687/","Diperbarui 17 jam yang lalu oleh","Sintia Redland","Rumah","Banyumanik, Semarang","6","2","","378","350","10","2.8","2.8",""
"Rumah di Pudak Payung Banyumanik Semarang","https://www.rumah123.com/properti/semarang/hos16744601/","Diperbarui 17 jam yang lalu oleh","Else Susilowaty","Rumah","Banyumanik, Semarang","4","2","","374","125","3","1","1",""
"RUMAH ASRI FULL FURNISHED SIAP HUNI DI SEMARANG","https://www.rumah123.com/properti/semarang/hos16744347/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","120","80","2","620","0.62",""
"RUMAH TENGAH KOTA SEMARANG BEBAS BANJIR","https://www.rumah123.com/properti/semarang/hos16744343/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Semarang Utara, Semarang","2","1","","200","125","4","1.3","1.3",""
"RUMAH SEDERHANA DI LINGKUNGAN ASRI DAN NYAMAN","https://www.rumah123.com/properti/semarang/hos16744340/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","177","60","5","1.5","1.5",""
"BELI 1 RUMAH DAPAT 2 RUMAH BISA UNTUK KOS2 AN","https://www.rumah123.com/properti/semarang/hos16744339/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Ngaliyan, Semarang","6","1","","180","180","6","1.7","1.7",""
"RUMAH DI NGALIYAN MURAH MERIAH DEKAT KOTA","https://www.rumah123.com/properti/semarang/hos16744336/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Ngaliyan, Semarang","2","1","","60","60","1","450","0.45",""
"RUMAH SEDERHANA YANG NYAMAN DAN EKSKLUSIF DI BSB VILLAGE SEMARANG","https://www.rumah123.com/properti/semarang/hos16744335/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","120","34","2","540","0.54",""
"RUMAH 2 LANTAI BEBAS BANJIR DI TENGAH KOTA SEMARANG","https://www.rumah123.com/properti/semarang/hos16744333/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Semarang Barat, Semarang","3","2","","72","83","5","1.35","1.35",""
"HUNIAN ASRI DAN ELEGAN DI MIJEN BEBAS BANJIR","https://www.rumah123.com/properti/semarang/hos16744317/","Diperbarui 18 jam yang lalu oleh","YENNY (YVVH)","Rumah","Mijen, Semarang","2","1","","120","45","1","485","0.485",""
"Rumah Murah Siap Huni Di Pudak Payung Banyumanik Semarang","https://www.rumah123.com/properti/semarang/hos16744048/","Diperbarui 18 jam yang lalu oleh","Yunita","Rumah","Banyumanik, Semarang","6","3","1","296","175","3","1","1",""
